p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR,p2_SIG_STR,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TOTAL_STR,p2_TOTAL_STR,p1_TD,p2_TD,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR,p2_R1_SIG_STR,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TOTAL_STR,p2_R1_TOTAL_STR,p1_R1_TD,p2_R1_TD,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_LANDED_ATTEMPTED,p2_SIG_STR_LANDED_ATTEMPTED,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_HEAD_LANDED_ATTEMPTED,p2_HEAD_LANDED_ATTEMPTED,p1_BODY_LANDED_ATTEMPTED,p2_BODY_LANDED_ATTEMPTED,p1_LEG_LANDED_ATTEMPTED,p2_LEG_LANDED_ATTEMPTED,p1_DISTANCE_LANDED_ATTEMPTED,p2_DISTANCE_LANDED_ATTEMPTED,p1_CLINCH_LANDED_ATTEMPTED,p2_CLINCH_LANDED_ATTEMPTED,p1_GROUND_LANDED_ATTEMPTED,p2_GROUND_LANDED_ATTEMPTED,p1_R1_SIG_STR_LANDED_ATTEMPTED,p2_R1_SIG_STR_LANDED_ATTEMPTED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,p1_R1_HEAD_LANDED_ATTEMPTED,p2_R1_HEAD_LANDED_ATTEMPTED,p1_R1_BODY_LANDED_ATTEMPTED,p2_R1_BODY_LANDED_ATTEMPTED,p1_R1_LEG_LANDED_ATTEMPTED,p2_R1_LEG_LANDED_ATTEMPTED,p1_R1_DISTANCE_LANDED_ATTEMPTED,p2_R1_DISTANCE_LANDED_ATTEMPTED,p1_R1_CLINCH_LANDED_ATTEMPTED,p2_R1_CLINCH_LANDED_ATTEMPTED,p1_R1_GROUND_LANDED_ATTEMPTED,p2_R1_GROUND_LANDED_ATTEMPTED,method,referee,winner,event_date
Farid Basharat,Victor Hugo,0,0,60 of 126,45 of 125,47%,36%,89 of 168,48 of 128,4 of 7,1 of 4,57%,25%,0,1,0,0,4:37,0:18,0,0,22 of 38,10 of 38,57%,26%,27 of 50,11 of 39,0 of 1,0 of 3,0%,0%,0,1,0,0,0:42,0:04,60 of 126,45 of 125,47%,36%,39 of 98,23 of 82,8 of 13,14 of 28,13 of 15,8 of 15,54 of 116,43 of 122,2 of 3,2 of 3,4 of 7,0 of 0,22 of 38,10 of 38,57%,26%,11 of 24,4 of 24,2 of 4,3 of 8,9 of 10,3 of 6,20 of 33,10 of 38,0 of 0,0 of 0,2 of 5,0 of 0,Decision - Unanimous,Kerry Hatley,1,"October 26, 2024"
Ismail Naurdiev,Bruno Silva,0,0,66 of 116,36 of 97,56%,37%,107 of 166,38 of 100,3 of 13,0 of 3,23%,0%,0,0,0,0,5:51,0:00,0,0,13 of 27,12 of 27,48%,44%,21 of 38,12 of 27,1 of 5,0 of 0,20%,---,0,0,0,0,2:03,0:00,66 of 116,36 of 97,56%,37%,42 of 87,28 of 83,15 of 20,4 of 6,9 of 9,4 of 8,51 of 96,30 of 85,11 of 16,6 of 12,4 of 4,0 of 0,13 of 27,12 of 27,48%,44%,6 of 18,7 of 20,4 of 6,2 of 3,3 of 3,3 of 4,8 of 19,10 of 23,5 of 8,2 of 4,0 of 0,0 of 0,Decision - Unanimous,Mark Smith,1,"October 26, 2024"
Rinat Fakhretdinov,Carlos Leal,0,0,109 of 222,107 of 246,49%,43%,119 of 236,146 of 292,2 of 19,1 of 4,10%,25%,0,0,0,0,3:14,0:13,0,0,24 of 53,28 of 63,45%,44%,28 of 59,56 of 95,1 of 7,0 of 0,14%,---,0,0,0,0,1:57,0:00,109 of 222,107 of 246,49%,43%,82 of 184,72 of 207,15 of 26,16 of 20,12 of 12,19 of 19,96 of 197,94 of 231,13 of 25,13 of 15,0 of 0,0 of 0,24 of 53,28 of 63,45%,44%,17 of 43,19 of 53,3 of 6,5 of 6,4 of 4,4 of 4,24 of 47,24 of 59,0 of 6,4 of 4,0 of 0,0 of 0,Decision - Unanimous,Vitor Ribeiro,1,"October 26, 2024"
Anthony Hernandez,Michel Pereira,0,0,152 of 212,24 of 53,71%,45%,219 of 293,29 of 62,10 of 29,0 of 1,34%,0%,0,1,0,1,15:42,0:56,0,0,27 of 52,15 of 34,51%,44%,30 of 55,17 of 36,1 of 8,0 of 0,12%,---,0,0,0,0,1:25,0:19,152 of 212,24 of 53,71%,45%,125 of 182,8 of 27,22 of 24,16 of 26,5 of 6,0 of 0,43 of 81,20 of 45,12 of 14,4 of 8,97 of 117,0 of 0,27 of 52,15 of 34,51%,44%,20 of 42,7 of 19,5 of 7,8 of 15,2 of 3,0 of 0,17 of 40,12 of 28,4 of 5,3 of 6,6 of 7,0 of 0,KO/TKO,Herb Dean,1,"October 19, 2024"
Rob Font,Kyler Phillips,0,0,61 of 137,38 of 125,44%,30%,65 of 144,50 of 143,0 of 1,4 of 5,0%,80%,0,0,0,0,1:19,4:42,0,0,7 of 19,10 of 26,36%,38%,7 of 20,21 of 42,0 of 1,1 of 1,0%,100%,0,0,0,0,0:29,3:34,61 of 137,38 of 125,44%,30%,50 of 122,19 of 98,11 of 15,9 of 14,0 of 0,10 of 13,56 of 131,32 of 112,5 of 6,1 of 6,0 of 0,5 of 7,7 of 19,10 of 26,36%,38%,6 of 17,8 of 23,1 of 2,2 of 2,0 of 0,0 of 1,6 of 18,5 of 19,1 of 1,0 of 0,0 of 0,5 of 7,Decision - Unanimous,Keith Peterson,1,"October 19, 2024"
Charles Johnson,Sumudaerji,1,0,65 of 150,75 of 144,43%,52%,84 of 177,78 of 149,2 of 6,0 of 3,33%,0%,0,2,0,1,2:58,0:50,0,0,19 of 50,24 of 43,38%,55%,33 of 64,24 of 43,0 of 2,0 of 0,0%,---,0,0,0,0,1:16,0:03,65 of 150,75 of 144,43%,52%,42 of 113,41 of 96,15 of 22,7 of 15,8 of 15,27 of 33,49 of 123,68 of 135,5 of 10,7 of 9,11 of 17,0 of 0,19 of 50,24 of 43,38%,55%,12 of 42,12 of 26,5 of 5,2 of 3,2 of 3,10 of 14,16 of 44,20 of 39,3 of 6,4 of 4,0 of 0,0 of 0,Decision - Unanimous,Mark Smith,1,"October 19, 2024"
Jake Hadley,Cameron Smotherman,0,0,60 of 165,96 of 259,36%,37%,70 of 176,97 of 260,1 of 2,0 of 0,50%,---,0,0,0,0,1:53,0:00,0,0,24 of 58,37 of 79,41%,46%,24 of 58,37 of 79,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,60 of 165,96 of 259,36%,37%,28 of 124,43 of 181,17 of 24,48 of 72,15 of 17,5 of 6,59 of 163,96 of 259,1 of 2,0 of 0,0 of 0,0 of 0,24 of 58,37 of 79,41%,46%,8 of 40,13 of 48,7 of 7,23 of 30,9 of 11,1 of 1,24 of 58,37 of 79,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Chris Tognoni,0,"October 19, 2024"
Darren Elkins,Daniel Pineda,0,0,39 of 88,31 of 53,44%,58%,102 of 170,61 of 85,3 of 12,0 of 0,25%,---,0,2,1,1,6:33,3:02,0,0,3 of 8,13 of 15,37%,86%,23 of 35,27 of 30,1 of 2,0 of 0,50%,---,0,2,1,1,2:07,2:07,39 of 88,31 of 53,44%,58%,30 of 78,21 of 38,9 of 10,7 of 10,0 of 0,3 of 5,28 of 70,17 of 37,3 of 7,1 of 1,8 of 11,13 of 15,3 of 8,13 of 15,37%,86%,3 of 8,12 of 13,0 of 0,1 of 2,0 of 0,0 of 0,2 of 6,1 of 2,0 of 1,0 of 0,1 of 1,12 of 13,Decision - Unanimous,Herb Dean,1,"October 19, 2024"
Matheus Nicolau,Asu Almabayev,0,1,16 of 42,22 of 54,38%,40%,38 of 68,55 of 112,0 of 1,1 of 6,0%,16%,1,0,0,0,0:00,5:17,0,0,5 of 15,9 of 21,33%,42%,5 of 15,9 of 21,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,16 of 42,22 of 54,38%,40%,8 of 26,7 of 36,5 of 9,8 of 9,3 of 7,7 of 9,12 of 37,17 of 46,0 of 0,1 of 3,4 of 5,4 of 5,5 of 15,9 of 21,33%,42%,1 of 8,1 of 11,3 of 5,4 of 4,1 of 2,4 of 6,5 of 15,9 of 21,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Keith Peterson,0,"October 19, 2024"
Brad Katona,Jean Matsumoto,0,0,89 of 141,89 of 201,63%,44%,117 of 171,109 of 223,3 of 8,1 of 7,37%,14%,0,0,0,0,3:35,2:04,0,0,30 of 44,20 of 53,68%,37%,39 of 53,24 of 57,0 of 0,0 of 4,---,0%,0,0,0,0,0:40,1:04,89 of 141,89 of 201,63%,44%,68 of 118,62 of 164,12 of 13,6 of 10,9 of 10,21 of 27,73 of 124,85 of 196,15 of 15,4 of 5,1 of 2,0 of 0,30 of 44,20 of 53,68%,37%,21 of 35,14 of 42,4 of 4,1 of 3,5 of 5,5 of 8,19 of 33,19 of 52,10 of 10,1 of 1,1 of 1,0 of 0,Decision - Unanimous,Mark Smith,0,"October 19, 2024"
Joselyne Edwards,Tamires Vidal,0,0,81 of 134,34 of 69,60%,49%,151 of 212,53 of 91,4 of 7,0 of 1,57%,0%,2,0,0,0,4:30,2:35,0,0,41 of 65,18 of 41,63%,43%,70 of 98,24 of 47,2 of 5,0 of 1,40%,0%,0,0,0,0,0:45,0:42,81 of 134,34 of 69,60%,49%,48 of 94,15 of 44,20 of 26,9 of 14,13 of 14,10 of 11,61 of 108,25 of 57,9 of 11,9 of 12,11 of 15,0 of 0,41 of 65,18 of 41,63%,43%,24 of 44,9 of 28,11 of 14,4 of 7,6 of 7,5 of 6,39 of 63,15 of 36,2 of 2,3 of 5,0 of 0,0 of 0,Submission,Herb Dean,1,"October 19, 2024"
Jessica Penne,Elise Reed,0,0,54 of 125,117 of 188,43%,62%,98 of 174,229 of 306,1 of 13,0 of 0,7%,---,0,0,0,0,3:16,0:30,0,0,19 of 33,6 of 17,57%,35%,51 of 70,105 of 122,1 of 5,0 of 0,20%,---,0,0,0,0,2:49,0:08,54 of 125,117 of 188,43%,62%,26 of 89,84 of 145,18 of 25,18 of 19,10 of 11,15 of 24,44 of 112,110 of 181,10 of 13,7 of 7,0 of 0,0 of 0,19 of 33,6 of 17,57%,35%,7 of 20,0 of 10,9 of 9,2 of 2,3 of 4,4 of 5,14 of 28,5 of 16,5 of 5,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Chris Tognoni,0,"October 19, 2024"
Melissa Martinez,Alice Ardelean,0,0,72 of 145,92 of 224,49%,41%,78 of 151,103 of 240,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:41,0,0,18 of 42,27 of 71,42%,38%,18 of 42,29 of 73,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:02,72 of 145,92 of 224,49%,41%,33 of 90,59 of 179,18 of 29,15 of 21,21 of 26,18 of 24,72 of 145,91 of 222,0 of 0,1 of 2,0 of 0,0 of 0,18 of 42,27 of 71,42%,38%,10 of 29,17 of 60,3 of 8,2 of 2,5 of 5,8 of 9,18 of 42,26 of 70,0 of 0,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Keith Peterson,1,"October 19, 2024"
Austen Lane,Robelis Despaigne,0,0,23 of 38,31 of 46,60%,67%,78 of 110,48 of 68,3 of 8,0 of 0,37%,---,0,0,0,0,8:58,0:00,0,0,6 of 8,4 of 4,75%,100%,14 of 21,12 of 15,1 of 3,0 of 0,33%,---,0,0,0,0,4:19,0:00,23 of 38,31 of 46,60%,67%,7 of 20,23 of 38,6 of 7,2 of 2,10 of 11,6 of 6,17 of 28,21 of 36,0 of 0,10 of 10,6 of 10,0 of 0,6 of 8,4 of 4,75%,100%,1 of 2,3 of 3,3 of 3,0 of 0,2 of 3,1 of 1,2 of 3,1 of 1,0 of 0,3 of 3,4 of 5,0 of 0,Decision - Unanimous,Mark Smith,1,"October 19, 2024"
Brandon Royval,Tatsuro Taira,0,0,124 of 232,42 of 99,53%,42%,172 of 287,80 of 143,3 of 3,6 of 15,100%,40%,3,1,2,0,2:23,12:13,0,0,17 of 55,10 of 22,30%,45%,17 of 55,11 of 24,0 of 0,1 of 3,---,33%,0,0,0,0,0:00,0:44,124 of 232,42 of 99,53%,42%,114 of 216,34 of 91,10 of 16,5 of 5,0 of 0,3 of 3,97 of 203,38 of 93,11 of 12,0 of 1,16 of 17,4 of 5,17 of 55,10 of 22,30%,45%,12 of 46,6 of 18,5 of 9,2 of 2,0 of 0,2 of 2,16 of 54,10 of 22,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Split,Jason Herzog,1,"October 12, 2024"
Brad Tavares,JunYong Park,0,0,65 of 149,99 of 177,43%,55%,73 of 159,124 of 210,0 of 0,2 of 6,---,33%,0,0,0,0,0:42,6:32,0,0,26 of 57,19 of 46,45%,41%,27 of 60,21 of 48,0 of 0,0 of 2,---,0%,0,0,0,0,0:42,1:18,65 of 149,99 of 177,43%,55%,55 of 136,76 of 151,2 of 3,4 of 6,8 of 10,19 of 20,62 of 143,91 of 167,0 of 1,3 of 5,3 of 5,5 of 5,26 of 57,19 of 46,45%,41%,21 of 52,12 of 37,0 of 0,2 of 3,5 of 5,5 of 6,23 of 52,19 of 46,0 of 0,0 of 0,3 of 5,0 of 0,Decision - Split,,0,"October 12, 2024"
Chidi Njokuani,Jared Gooden,0,0,105 of 148,20 of 50,70%,40%,162 of 207,81 of 121,0 of 0,2 of 8,---,25%,0,1,0,0,9:16,2:29,0,0,21 of 28,3 of 5,75%,60%,46 of 53,23 of 28,0 of 0,1 of 4,---,25%,0,0,0,0,3:38,1:06,105 of 148,20 of 50,70%,40%,49 of 81,13 of 37,47 of 57,5 of 10,9 of 10,2 of 3,28 of 48,14 of 42,56 of 65,5 of 6,21 of 35,1 of 2,21 of 28,3 of 5,75%,60%,5 of 7,1 of 3,16 of 21,2 of 2,0 of 0,0 of 0,3 of 6,1 of 3,18 of 22,2 of 2,0 of 0,0 of 0,Decision - Unanimous,Mark Smith,1,"October 12, 2024"
Grant Dawson,Rafa Garcia,0,0,44 of 90,5 of 12,48%,41%,80 of 144,29 of 38,2 of 4,0 of 0,50%,---,0,0,0,0,5:09,0:00,0,0,20 of 52,4 of 10,38%,40%,41 of 87,27 of 34,1 of 3,0 of 0,33%,---,0,0,0,0,3:50,0:00,44 of 90,5 of 12,48%,41%,38 of 76,4 of 8,4 of 12,1 of 4,2 of 2,0 of 0,5 of 24,4 of 11,0 of 0,1 of 1,39 of 66,0 of 0,20 of 52,4 of 10,38%,40%,16 of 42,3 of 6,3 of 9,1 of 4,1 of 1,0 of 0,2 of 17,3 of 9,0 of 0,1 of 1,18 of 35,0 of 0,KO/TKO,Chris Tognoni,1,"October 12, 2024"
Daniel Rodriguez,Alex Morono,0,0,123 of 257,74 of 257,47%,28%,126 of 260,91 of 276,1 of 1,0 of 1,100%,0%,0,0,0,0,0:56,0:00,0,0,25 of 56,31 of 81,44%,38%,25 of 56,31 of 81,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,123 of 257,74 of 257,47%,28%,44 of 153,58 of 228,56 of 80,9 of 21,23 of 24,7 of 8,117 of 251,74 of 256,6 of 6,0 of 1,0 of 0,0 of 0,25 of 56,31 of 81,44%,38%,7 of 32,20 of 67,11 of 17,5 of 8,7 of 7,6 of 6,25 of 56,31 of 81,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Split,Herb Dean,1,"October 12, 2024"
CJ Vergara,Ramazan Temirov,0,3,4 of 16,23 of 55,25%,41%,4 of 16,23 of 55,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,0,3,4 of 16,23 of 55,25%,41%,4 of 16,23 of 55,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:05,4 of 16,23 of 55,25%,41%,1 of 12,18 of 46,1 of 1,4 of 8,2 of 3,1 of 1,4 of 16,20 of 50,0 of 0,0 of 0,0 of 0,3 of 5,4 of 16,23 of 55,25%,41%,1 of 12,18 of 46,1 of 1,4 of 8,2 of 3,1 of 1,4 of 16,20 of 50,0 of 0,0 of 0,0 of 0,3 of 5,KO/TKO,Jason Herzog,0,"October 12, 2024"
Jonathan Pearce,Pat Sabatini,0,0,2 of 2,3 of 5,100%,60%,32 of 32,19 of 25,0 of 0,2 of 3,---,66%,0,1,0,0,0:00,3:56,0,0,2 of 2,3 of 5,100%,60%,32 of 32,19 of 25,0 of 0,2 of 3,---,66%,0,1,0,0,0:00,3:56,2 of 2,3 of 5,100%,60%,0 of 0,2 of 4,1 of 1,1 of 1,1 of 1,0 of 0,2 of 2,1 of 2,0 of 0,1 of 1,0 of 0,1 of 2,2 of 2,3 of 5,100%,60%,0 of 0,2 of 4,1 of 1,1 of 1,1 of 1,0 of 0,2 of 2,1 of 2,0 of 0,1 of 1,0 of 0,1 of 2,Submission,Chris Tognoni,0,"October 12, 2024"
Themba Gorimbo,Niko Price,0,0,68 of 127,16 of 53,53%,30%,141 of 223,58 of 100,7 of 9,0 of 3,77%,0%,2,1,0,0,9:14,1:00,0,0,32 of 67,6 of 17,47%,35%,45 of 87,13 of 24,1 of 1,0 of 1,100%,0%,1,0,0,0,2:46,0:00,68 of 127,16 of 53,53%,30%,44 of 97,13 of 43,9 of 15,2 of 5,15 of 15,1 of 5,43 of 85,11 of 48,6 of 13,5 of 5,19 of 29,0 of 0,32 of 67,6 of 17,47%,35%,21 of 55,5 of 14,2 of 3,1 of 1,9 of 9,0 of 2,23 of 47,4 of 15,1 of 4,2 of 2,8 of 16,0 of 0,Decision - Unanimous,Herb Dean,1,"October 12, 2024"
Junior Tafa,Sean Sharaf,0,0,71 of 128,53 of 118,55%,44%,71 of 128,54 of 122,0 of 0,1 of 8,---,12%,0,0,0,0,0:02,0:46,0,0,36 of 75,46 of 102,48%,45%,36 of 75,47 of 106,0 of 0,1 of 5,---,20%,0,0,0,0,0:00,0:46,71 of 128,53 of 118,55%,44%,61 of 117,39 of 101,10 of 11,7 of 10,0 of 0,7 of 7,71 of 128,44 of 93,0 of 0,1 of 3,0 of 0,8 of 22,36 of 75,46 of 102,48%,45%,28 of 66,34 of 87,8 of 9,6 of 9,0 of 0,6 of 6,36 of 75,37 of 78,0 of 0,1 of 2,0 of 0,8 of 22,KO/TKO,Mark Smith,1,"October 12, 2024"
Julia Polastri,Cory McKenna,0,0,88 of 145,40 of 124,60%,32%,142 of 203,98 of 198,0 of 1,1 of 6,0%,16%,0,0,0,0,3:13,5:20,0,0,40 of 58,17 of 42,68%,40%,58 of 79,43 of 69,0 of 0,0 of 2,---,0%,0,0,0,0,1:05,1:38,88 of 145,40 of 124,60%,32%,40 of 92,30 of 112,35 of 39,6 of 8,13 of 14,4 of 4,54 of 102,35 of 114,32 of 39,5 of 8,2 of 4,0 of 2,40 of 58,17 of 42,68%,40%,17 of 33,12 of 35,18 of 19,3 of 5,5 of 6,2 of 2,21 of 35,15 of 38,19 of 23,2 of 4,0 of 0,0 of 0,Decision - Split,Chris Tognoni,1,"October 12, 2024"
Dan Argueta,Cody Haddon,0,0,54 of 140,140 of 280,38%,50%,65 of 151,148 of 288,4 of 24,2 of 4,16%,50%,1,0,0,0,4:23,1:31,0,0,16 of 43,45 of 95,37%,47%,18 of 45,46 of 96,1 of 9,0 of 0,11%,---,1,0,0,0,1:50,0:15,54 of 140,140 of 280,38%,50%,34 of 114,100 of 232,13 of 19,38 of 46,7 of 7,2 of 2,42 of 114,130 of 268,9 of 18,10 of 11,3 of 8,0 of 1,16 of 43,45 of 95,37%,47%,10 of 35,35 of 82,5 of 7,9 of 12,1 of 1,1 of 1,13 of 36,44 of 94,3 of 7,1 of 1,0 of 0,0 of 0,Decision - Unanimous,Jason Herzog,0,"October 12, 2024"
Clayton Carpenter,Lucas Rocha,0,0,34 of 60,17 of 41,56%,41%,36 of 62,21 of 45,2 of 3,0 of 0,66%,---,1,0,0,0,4:38,0:00,0,0,23 of 40,9 of 24,57%,37%,25 of 42,12 of 27,1 of 1,0 of 0,100%,---,0,0,0,0,3:38,0:00,34 of 60,17 of 41,56%,41%,22 of 45,10 of 32,7 of 8,6 of 8,5 of 7,1 of 1,20 of 43,16 of 39,1 of 1,1 of 2,13 of 16,0 of 0,23 of 40,9 of 24,57%,37%,19 of 33,5 of 19,2 of 3,4 of 5,2 of 4,0 of 0,10 of 24,9 of 24,0 of 0,0 of 0,13 of 16,0 of 0,Submission,Mark Smith,1,"October 12, 2024"
Alex Pereira,Khalil Rountree Jr.,1,0,127 of 209,61 of 191,60%,31%,129 of 211,62 of 193,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,0,0,15 of 27,10 of 42,55%,23%,15 of 27,10 of 42,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,127 of 209,61 of 191,60%,31%,92 of 167,34 of 155,17 of 20,16 of 23,18 of 22,11 of 13,123 of 205,60 of 189,4 of 4,1 of 2,0 of 0,0 of 0,15 of 27,10 of 42,55%,23%,7 of 17,8 of 39,3 of 4,1 of 1,5 of 6,1 of 2,15 of 27,10 of 41,0 of 0,0 of 1,0 of 0,0 of 0,KO/TKO,Marc Goddard,1,"October 05, 2024"
Raquel Pennington,Julianna Pena,1,0,92 of 317,92 of 260,29%,35%,112 of 345,123 of 308,0 of 0,2 of 3,---,66%,0,1,0,0,0:33,5:40,0,0,17 of 60,25 of 59,28%,42%,17 of 60,25 of 59,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,92 of 317,92 of 260,29%,35%,57 of 277,82 of 248,29 of 33,9 of 11,6 of 7,1 of 1,88 of 308,90 of 256,4 of 6,2 of 4,0 of 3,0 of 0,17 of 60,25 of 59,28%,42%,12 of 53,24 of 58,3 of 4,1 of 1,2 of 3,0 of 0,17 of 60,25 of 59,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Split,Jason Herzog,0,"October 05, 2024"
Jose Aldo,Mario Bautista,0,0,51 of 117,49 of 142,43%,34%,65 of 139,90 of 196,0 of 0,0 of 10,---,0%,0,0,0,0,0:00,7:15,0,0,13 of 26,20 of 53,50%,37%,20 of 38,40 of 81,0 of 0,0 of 2,---,0%,0,0,0,0,0:00,2:20,51 of 117,49 of 142,43%,34%,41 of 105,26 of 111,6 of 8,12 of 19,4 of 4,11 of 12,46 of 111,44 of 136,2 of 3,5 of 6,3 of 3,0 of 0,13 of 26,20 of 53,50%,37%,8 of 21,8 of 39,1 of 1,5 of 6,4 of 4,7 of 8,12 of 25,15 of 48,1 of 1,5 of 5,0 of 0,0 of 0,Decision - Split,Mike Beltran,0,"October 05, 2024"
Roman Dolidze,Kevin Holland,0,0,19 of 33,18 of 28,57%,64%,57 of 101,36 of 46,1 of 1,0 of 0,100%,---,0,0,0,0,2:50,0:00,0,0,19 of 33,18 of 28,57%,64%,57 of 101,36 of 46,1 of 1,0 of 0,100%,---,0,0,0,0,2:50,0:00,19 of 33,18 of 28,57%,64%,16 of 30,5 of 13,2 of 2,3 of 4,1 of 1,10 of 11,5 of 10,18 of 28,0 of 0,0 of 0,14 of 23,0 of 0,19 of 33,18 of 28,57%,64%,16 of 30,5 of 13,2 of 2,3 of 4,1 of 1,10 of 11,5 of 10,18 of 28,0 of 0,0 of 0,14 of 23,0 of 0,KO/TKO,Jason Herzog,1,"October 05, 2024"
Ketlen Vieira,Kayla Harrison,0,0,24 of 61,55 of 94,39%,58%,67 of 108,98 of 149,0 of 0,2 of 8,---,25%,0,0,0,0,0:00,7:54,0,0,5 of 16,17 of 27,31%,62%,27 of 38,37 of 53,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,2:46,24 of 61,55 of 94,39%,58%,12 of 38,34 of 69,4 of 15,14 of 16,8 of 8,7 of 9,21 of 58,19 of 50,3 of 3,15 of 17,0 of 0,21 of 27,5 of 16,17 of 27,31%,62%,1 of 8,7 of 17,0 of 4,9 of 9,4 of 4,1 of 1,5 of 16,4 of 12,0 of 0,9 of 11,0 of 0,4 of 4,Decision - Unanimous,Marc Goddard,0,"October 05, 2024"
Stephen Thompson,Joaquin Buckley,0,1,49 of 106,34 of 93,46%,36%,63 of 121,55 of 117,0 of 0,4 of 7,---,57%,0,0,0,0,0:03,4:13,0,0,15 of 28,6 of 26,53%,23%,21 of 35,16 of 39,0 of 0,2 of 3,---,66%,0,0,0,0,0:00,2:18,49 of 106,34 of 93,46%,36%,38 of 93,23 of 78,7 of 9,9 of 12,4 of 4,2 of 3,36 of 90,28 of 82,13 of 15,5 of 9,0 of 1,1 of 2,15 of 28,6 of 26,53%,23%,12 of 25,5 of 21,2 of 2,1 of 4,1 of 1,0 of 1,12 of 24,5 of 22,3 of 4,1 of 4,0 of 0,0 of 0,KO/TKO,Mike Beltran,0,"October 05, 2024"
Marina Rodriguez,Iasmin Lucindo,0,0,33 of 99,30 of 73,33%,41%,65 of 134,55 of 104,1 of 1,3 of 4,100%,75%,0,0,0,1,0:11,4:40,0,0,5 of 25,11 of 33,20%,33%,18 of 38,20 of 42,0 of 0,1 of 1,---,100%,0,0,0,0,0:02,1:06,33 of 99,30 of 73,33%,41%,28 of 89,19 of 56,5 of 7,9 of 13,0 of 3,2 of 4,28 of 92,27 of 68,3 of 5,1 of 3,2 of 2,2 of 2,5 of 25,11 of 33,20%,33%,4 of 21,4 of 21,1 of 2,5 of 8,0 of 2,2 of 4,5 of 25,10 of 31,0 of 0,1 of 2,0 of 0,0 of 0,Decision - Split,Marc Goddard,0,"October 05, 2024"
Austin Hubbard,Alexander Hernandez,0,0,63 of 191,79 of 204,32%,38%,65 of 193,91 of 217,0 of 12,0 of 2,0%,0%,0,0,0,0,0:05,0:40,0,0,10 of 44,23 of 60,22%,38%,11 of 45,23 of 60,0 of 2,0 of 1,0%,0%,0,0,0,0,0:00,0:00,63 of 191,79 of 204,32%,38%,32 of 142,41 of 144,25 of 42,22 of 38,6 of 7,16 of 22,60 of 177,78 of 203,3 of 14,1 of 1,0 of 0,0 of 0,10 of 44,23 of 60,22%,38%,2 of 27,10 of 43,7 of 15,4 of 7,1 of 2,9 of 10,10 of 42,23 of 60,0 of 2,0 of 0,0 of 0,0 of 0,Decision - Split,Tyler Tomlinson,0,"October 05, 2024"
Cesar Almeida,Ihor Potieria,0,0,57 of 113,44 of 89,50%,49%,78 of 137,57 of 102,0 of 2,3 of 8,0%,37%,1,0,1,0,2:15,3:32,0,0,23 of 41,16 of 32,56%,50%,24 of 42,17 of 33,0 of 1,1 of 4,0%,25%,0,0,0,0,0:00,0:58,57 of 113,44 of 89,50%,49%,32 of 69,22 of 64,14 of 28,9 of 12,11 of 16,13 of 13,41 of 90,42 of 85,1 of 1,1 of 3,15 of 22,1 of 1,23 of 41,16 of 32,56%,50%,6 of 16,6 of 21,7 of 14,5 of 6,10 of 11,5 of 5,23 of 41,16 of 32,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,Dave Seljestad,1,"October 05, 2024"
